"item","label","kind","type","hand","jobK","jobW","jobE","jobM","jobD","jobS","jobR","lv","speed","skill","min","max","magic","pet","noroi","exmin","exmax","exmagic","expet","exnoroi","setmin","setmax","setmagic","setpet","setnoroi","str","inc","agi","inc","vit","inc","ene","inc","rec","inc","exstr","inc","exagi","inc","exvit","inc","exene","inc","exrec","inc","ex_en_type","option",
"武器","ロードセプター","通常","セプター","片手",0,0,0,0,1,0,0,0,40,"フォースウェーブ",91,102,-1,26,-1,119,130,-1,35,-1,,,,,,328.53,9.49,87.16,2.14,,,-1,-1,,,407.08,9.49,104.82,2.09,,,-1,-1,,,0,"攻撃",4
"武器","シャイニングセプター","通常","セプター","片手",0,0,0,0,1,0,0,0,40,"フォースウェーブ",99,111,-1,30,-1,126,138,-1,39,-1,,,,,,376.3,9.74,92.13,1.99,,,-1,-1,,,457.3,9.74,109.05,1.99,,,-1,-1,,,0,"攻撃",4
"武器","グレートロードセプター","通常","セプター","片手",0,0,0,0,1,0,0,0,40,"フォースウェーブ",108,120,-1,33.5,-1,132,144,-1,41.5,-1,,,,,,398,8.1,104,1.8,,,-1,-1,,,465.4,8.12,119,1.8,,,-1,-1,,,0,"攻撃",4
"武器","アークエンジェルセプター(旧)","通常","セプター","片手",0,0,0,0,1,0,0,0,40,"フォースウェーブ",120,143,-1,39,-1,120,143,-1,39,-1,,,,,,357.46,6.77,92,1.43,,,-1,-1,,,357.46,6.77,92,1.43,,,-1,-1,,,0,"攻撃",4
"武器","アークエンジェルセプター(新)","通常","セプター","片手",0,0,0,0,1,0,0,0,45,"フォースウェーブ",200,223,-1,69,-1,200,223,-1,69,-1,,,,,,357.46,6.77,92,1.43,,,-1,-1,,,357.46,6.77,92,1.43,,,-1,-1,,,0,"攻撃",4
"武器","ソレイユセプター","通常","セプター","片手",0,0,0,0,1,0,0,380,40,"フォースウェーブ",130,153,-1,42,-1,157,180,-1,51.5,-1,,,,,,370.34,7.22,85.64,1.36,,,-1,-1,,,430.34,7.22,96.89,1.37,,,-1,-1,,,0,"攻撃",4
"武器","ストライカーセプター","通常","セプター","片手",0,0,0,0,1,0,0,0,40,"フォースウェーブ",112,124,-1,35,-1,136,148,-1,43,-1,,,,,,403.45,7.85,108.19,1.81,,,-1,-1,,,468.15,7.85,123.38,1.81,,,-1,-1,,,0,"攻撃",4
"武器","ミステリーロッド","通常","ロッド","片手",0,0,0,0,0,1,0,0,25,"-",17,18,17,-1,-1,37,38,34.5,-1,-1,,,,,,48,3.13,31.73,1.27,,,-1,-1,,,74.13,2.99,42.16,1.28,,,-1,-1,,,1,"魔力",4
"武器","サイクロンロッド","通常","ロッド","片手",0,0,0,0,0,1,0,0,25,"-",23,25,23,-1,-1,41,43,39,-1,-1,,,,,,61.13,2.99,41.35,1.55,,,-1,-1,,,86.11,2.99,54,1.55,,,-1,-1,,,1,"魔力",4
"武器","レッドウイングロッド","通常","ロッド","片手",0,0,0,0,0,1,0,0,25,"-",29,31,29.5,-1,-1,46,48,44.5,-1,-1,,,,,,83.46,3.27,44.73,1.27,,,-1,-1,,,110.46,3.27,55.16,1.28,,,-1,-1,,,1,"魔力",4
"武器","エンシェントロッド","通常","ロッド","片手",0,0,0,0,0,1,0,0,25,"-",38,40,38,-1,-1,55,57,52.5,-1,-1,,,,,,137,4.5,64.45,1.71,,,-1,-1,,,174.46,4.54,78.56,1.72,,,-1,-1,,,1,"魔力",4
"武器","デモニックロッド","通常","ロッド","片手",0,0,0,0,0,1,0,0,30,"-",46,48,46,-1,-1,62,64,60,-1,-1,,,,,,182,4.86,65,1.34,,,-1,-1,,,222.39,4.87,76.15,1.37,,,-1,-1,,,1,"魔力",4
"武器","ストームブリッツロッド","通常","ロッド","片手",0,0,0,0,0,1,0,380,30,"-",51,53,55,-1,-1,67,69,70,-1,-1,,,,,,231.05,5.79,69.22,1.39,,,-1,-1,,,279.05,5.79,80.64,1.36,,,-1,-1,,,1,"魔力",4
"武器","レイブンロッド","通常","ロッド","片手",0,0,0,0,0,1,0,0,30,"-",70,78,65,-1,-1,86,94,78.5,-1,-1,,,,,,240.46,4.54,81.73,1.27,,,-1,-1,,,278.51,4.49,92,1.25,,,-1,-1,,,1,"魔力",4
"武器","アークエンジェルロッド","通常","ロッド","片手",0,0,0,0,0,1,0,0,30,"-",0,0,73,-1,-1,0,0,73,-1,-1,,,,,,191,-1,60,-1,,,-1,-1,,,191,-1,60,-1,,,-1,-1,,,1,"魔力",4
"武器","サハムットの書","通常","書","左手",0,0,0,0,0,1,0,0,25,"エクスプロージョン",-1,-1,-1,-1,23,-1,-1,-1,-1,36.5,,,,,,0,-1,51.19,1.81,,,230,4.13,,,0,-1,66.19,1.81,,,331.64,4.12,,,1,"呪い",4
"武器","ニールの書","通常","書","左手",0,0,0,0,0,1,0,0,25,"レクイエム",-1,-1,-1,-1,29.5,-1,-1,-1,-1,44.5,,,,,,0,-1,64.16,2.28,,,317.13,4.99,,,0,-1,83,2.25,,,443.13,4.99,,,1,"呪い",4
"武器","ラグルの書","通常","書","左手",0,0,0,0,0,1,0,0,25,"ポリューション",-1,-1,-1,-1,36,-1,-1,-1,-1,52,,,,,,0,-1,78.45,2.71,,,411.82,6.09,,,0,-1,101,2.7,,,562.13,5.99,,,1,"呪い",4
"武器","セイクリッドグローブ","通常","剣","片手",0,0,0,0,0,0,1,0,25,"クリングブロー",52,58,-1,-1,-1,82,88,-1,-1,-1,95,101,-1,-1,-1,152.31,7.69,74.52,3.16,,,-1,-1,,,-1,-1,-1,-1,,,-1,-1,,,0,"攻撃",4
"武器","ホーリーストームクロー","通常","剣","片手",0,0,0,0,0,0,1,0,30,"ビーストアッパー",82,88,-1,-1,-1,112,118,-1,-1,-1,,,,,,-1,-1,-1,-1,,,-1,-1,,,-1,-1,-1,-1,,,-1,-1,,,0,"攻撃",4
"武器","ピアシングブレードグローブ","通常","剣","片手",0,0,0,0,0,0,1,0,35,"クリングブロー",95,101,-1,-1,-1,125,131,-1,-1,-1,,,,,,398,10.8,209,5.4,,,-1,-1,,,-1,-1,-1,-1,,,-1,-1,,,0,"攻撃",4
"武器","フェニックスソウルクロー","通常","剣","片手",0,0,0,0,0,0,1,380,35,"フェニックスショット",122,128,-1,-1,-1,152,158,-1,-1,-1,,,,,,465,-1,244,-1,,,-1,-1,,,0,-1,0,-1,,,-1,-1,,,0,"攻撃",4
"武器","アークエンジェルクロー","通常","剣","片手",0,0,0,0,0,0,1,0,35,"ビーストアッパー",210,216,-1,-1,-1,210,216,-1,-1,-1,,,,,,0,-1,0,-1,,,-1,-1,,,0,-1,0,-1,,,-1,-1,,,0,"攻撃",4
